pocet,rok,obec,okres
3310,1869,Abertamy,Karlovy Vary
3605,1880,Abertamy,Karlovy Vary
3644,1890,Abertamy,Karlovy Vary
4010,1900,Abertamy,Karlovy Vary
4293,1910,Abertamy,Karlovy Vary
3512,1921,Abertamy,Karlovy Vary
3824,1930,Abertamy,Karlovy Vary
2261,1950,Abertamy,Karlovy Vary
1715,1961,Abertamy,Karlovy Vary
1145,1970,Abertamy,Karlovy Vary
1156,1980,Abertamy,Karlovy Vary
1052,1991,Abertamy,Karlovy Vary
1197,2001,Abertamy,Karlovy Vary
1315,2011,Abertamy,Karlovy Vary
902,1869,Adamov,Blansko
953,1880,Adamov,Blansko
728,1890,Adamov,Blansko
792,1900,Adamov,Blansko
816,1910,Adamov,Blansko
998,1921,Adamov,Blansko
1148,1930,Adamov,Blansko
2090,1950,Adamov,Blansko
3139,1961,Adamov,Blansko
3787,1970,Adamov,Blansko
5088,1980,Adamov,Blansko
5089,1991,Adamov,Blansko
4970,2001,Adamov,Blansko
4624,2011,Adamov,Blansko
464,1869,Adamov,Kutná Hora
471,1880,Adamov,Kutná Hora
463,1890,Adamov,Kutná Hora
457,1900,Adamov,Kutná Hora
404,1910,Adamov,Kutná Hora
375,1921,Adamov,Kutná Hora
301,1930,Adamov,Kutná Hora
231,1950,Adamov,Kutná Hora
226,1961,Adamov,Kutná Hora
198,1970,Adamov,Kutná Hora
152,1980,Adamov,Kutná Hora
122,1991,Adamov,Kutná Hora
113,2001,Adamov,Kutná Hora
106,2011,Adamov,Kutná Hora
637,1869,Adamov,České Budějovice
682,1880,Adamov,České Budějovice
707,1890,Adamov,České Budějovice
650,1900,Adamov,České Budějovice
735,1910,Adamov,České Budějovice
650,1921,Adamov,České Budějovice
632,1930,Adamov,České Budějovice
437,1950,Adamov,České Budějovice
441,1961,Adamov,České Budějovice
406,1970,Adamov,České Budějovice
387,1980,Adamov,České Budějovice
489,1991,Adamov,České Budějovice
515,2001,Adamov,České Budějovice
639,2011,Adamov,České Budějovice
1424,1869,Adršpach,Náchod
1674,1880,Adršpach,Náchod
1660,1890,Adršpach,Náchod
1538,1900,Adršpach,Náchod
1605,1910,Adršpach,Náchod
1449,1921,Adršpach,Náchod
1490,1930,Adršpach,Náchod
789,1950,Adršpach,Náchod
660,1961,Adršpach,Náchod
565,1970,Adršpach,Náchod
609,1980,Adršpach,Náchod
535,1991,Adršpach,Náchod
508,2001,Adršpach,Náchod
527,2011,Adršpach,Náchod
1015,1869,Albrechtice,Karviná
1070,1880,Albrechtice,Karviná
1102,1890,Albrechtice,Karviná
1155,1900,Albrechtice,Karviná
1335,1910,Albrechtice,Karviná
1387,1921,Albrechtice,Karviná
1641,1930,Albrechtice,Karviná
1602,1950,Albrechtice,Karviná
2184,1961,Albrechtice,Karviná
2559,1970,Albrechtice,Karviná
3616,1980,Albrechtice,Karviná
3904,1991,Albrechtice,Karviná
4071,2001,Albrechtice,Karviná
3932,2011,Albrechtice,Karviná
780,1869,Albrechtice,Ústí nad Orlicí
868,1880,Albrechtice,Ústí nad Orlicí
926,1890,Albrechtice,Ústí nad Orlicí
816,1900,Albrechtice,Ústí nad Orlicí
825,1910,Albrechtice,Ústí nad Orlicí
768,1921,Albrechtice,Ústí nad Orlicí
700,1930,Albrechtice,Ústí nad Orlicí
439,1950,Albrechtice,Ústí nad Orlicí
517,1961,Albrechtice,Ústí nad Orlicí
498,1970,Albrechtice,Ústí nad Orlicí
507,1980,Albrechtice,Ústí nad Orlicí
486,1991,Albrechtice,Ústí nad Orlicí
495,2001,Albrechtice,Ústí nad Orlicí
480,2011,Albrechtice,Ústí nad Orlicí
335,1869,Albrechtice nad Orlicí,Rychnov nad Kněžnou
393,1880,Albrechtice nad Orlicí,Rychnov nad Kněžnou
403,1890,Albrechtice nad Orlicí,Rychnov nad Kněžnou
442,1900,Albrechtice nad Orlicí,Rychnov nad Kněžnou
581,1910,Albrechtice nad Orlicí,Rychnov nad Kněžnou
656,1921,Albrechtice nad Orlicí,Rychnov nad Kněžnou
877,1930,Albrechtice nad Orlicí,Rychnov nad Kněžnou
908,1950,Albrechtice nad Orlicí,Rychnov nad Kněžnou
1052,1961,Albrechtice nad Orlicí,Rychnov nad Kněžnou
981,1970,Albrechtice nad Orlicí,Rychnov nad Kněžnou
1000,1980,Albrechtice nad Orlicí,Rychnov nad Kněžnou
1012,1991,Albrechtice nad Orlicí,Rychnov nad Kněžnou
990,2001,Albrechtice nad Orlicí,Rychnov nad Kněžnou
1023,2011,Albrechtice nad Orlicí,Rychnov nad Kněžnou
2601,1869,Albrechtice nad Vltavou,Písek
2545,1880,Albrechtice nad Vltavou,Písek
2378,1890,Albrechtice nad Vltavou,Písek
2424,1900,Albrechtice nad Vltavou,Písek
2445,1910,Albrechtice nad Vltavou,Písek
2342,1921,Albrechtice nad Vltavou,Písek
2098,1930,Albrechtice nad Vltavou,Písek
1711,1950,Albrechtice nad Vltavou,Písek
1528,1961,Albrechtice nad Vltavou,Písek
1333,1970,Albrechtice nad Vltavou,Písek
1079,1980,Albrechtice nad Vltavou,Písek
897,1991,Albrechtice nad Vltavou,Písek
807,2001,Albrechtice nad Vltavou,Písek
840,2011,Albrechtice nad Vltavou,Písek
2292,1869,Albrechtice v Jizerských horách,Jablonec nad Nisou
2042,1880,Albrechtice v Jizerských horách,Jablonec nad Nisou
2209,1890,Albrechtice v Jizerských horách,Jablonec nad Nisou
2266,1900,Albrechtice v Jizerských horách,Jablonec nad Nisou
2351,1910,Albrechtice v Jizerských horách,Jablonec nad Nisou
1890,1921,Albrechtice v Jizerských horách,Jablonec nad Nisou
1890,1930,Albrechtice v Jizerských horách,Jablonec nad Nisou
827,1950,Albrechtice v Jizerských horách,Jablonec nad Nisou
684,1961,Albrechtice v Jizerských horách,Jablonec nad Nisou
494,1970,Albrechtice v Jizerských horách,Jablonec nad Nisou
390,1980,Albrechtice v Jizerských horách,Jablonec nad Nisou
332,1991,Albrechtice v Jizerských horách,Jablonec nad Nisou
329,2001,Albrechtice v Jizerských horách,Jablonec nad Nisou
341,2011,Albrechtice v Jizerských horách,Jablonec nad Nisou
746,1869,Albrechtičky,Nový Jičín
745,1880,Albrechtičky,Nový Jičín
728,1890,Albrechtičky,Nový Jičín
757,1900,Albrechtičky,Nový Jičín
861,1910,Albrechtičky,Nový Jičín
876,1921,Albrechtičky,Nový Jičín
861,1930,Albrechtičky,Nový Jičín
1009,1950,Albrechtičky,Nový Jičín
1188,1961,Albrechtičky,Nový Jičín
787,1970,Albrechtičky,Nový Jičín
726,1980,Albrechtičky,Nový Jičín
698,1991,Albrechtičky,Nový Jičín
693,2001,Albrechtičky,Nový Jičín
709,2011,Albrechtičky,Nový Jičín
228,1869,Alojzov,Prostějov
290,1880,Alojzov,Prostějov
281,1890,Alojzov,Prostějov
302,1900,Alojzov,Prostějov
295,1910,Alojzov,Prostějov
300,1921,Alojzov,Prostějov
282,1930,Alojzov,Prostějov
215,1950,Alojzov,Prostějov
237,1961,Alojzov,Prostějov
256,1970,Alojzov,Prostějov
243,1980,Alojzov,Prostějov
197,1991,Alojzov,Prostějov
207,2001,Alojzov,Prostějov
231,2011,Alojzov,Prostějov
2270,1869,Andělská Hora,Bruntál
2353,1880,Andělská Hora,Bruntál
2270,1890,Andělská Hora,Bruntál
2043,1900,Andělská Hora,Bruntál
1789,1910,Andělská Hora,Bruntál
1435,1921,Andělská Hora,Bruntál
1417,1930,Andělská Hora,Bruntál
514,1950,Andělská Hora,Bruntál
579,1961,Andělská Hora,Bruntál
501,1970,Andělská Hora,Bruntál
419,1980,Andělská Hora,Bruntál
384,1991,Andělská Hora,Bruntál
383,2001,Andělská Hora,Bruntál
373,2011,Andělská Hora,Bruntál
1002,1869,Andělská Hora,Karlovy Vary
935,1880,Andělská Hora,Karlovy Vary
974,1890,Andělská Hora,Karlovy Vary
953,1900,Andělská Hora,Karlovy Vary
901,1910,Andělská Hora,Karlovy Vary
777,1921,Andělská Hora,Karlovy Vary
792,1930,Andělská Hora,Karlovy Vary
221,1950,Andělská Hora,Karlovy Vary
287,1961,Andělská Hora,Karlovy Vary
229,1970,Andělská Hora,Karlovy Vary
215,1980,Andělská Hora,Karlovy Vary
165,1991,Andělská Hora,Karlovy Vary
191,2001,Andělská Hora,Karlovy Vary
278,2011,Andělská Hora,Karlovy Vary
710,1869,Anenská Studánka,Ústí nad Orlicí
697,1880,Anenská Studánka,Ústí nad Orlicí
659,1890,Anenská Studánka,Ústí nad Orlicí
658,1900,Anenská Studánka,Ústí nad Orlicí
557,1910,Anenská Studánka,Ústí nad Orlicí
530,1921,Anenská Studánka,Ústí nad Orlicí
534,1930,Anenská Studánka,Ústí nad Orlicí
247,1950,Anenská Studánka,Ústí nad Orlicí
311,1961,Anenská Studánka,Ústí nad Orlicí
282,1970,Anenská Studánka,Ústí nad Orlicí
237,1980,Anenská Studánka,Ústí nad Orlicí
196,1991,Anenská Studánka,Ústí nad Orlicí
187,2001,Anenská Studánka,Ústí nad Orlicí
206,2011,Anenská Studánka,Ústí nad Orlicí
994,1869,Archlebov,Hodonín
1128,1880,Archlebov,Hodonín
1184,1890,Archlebov,Hodonín
1214,1900,Archlebov,Hodonín
1278,1910,Archlebov,Hodonín
1327,1921,Archlebov,Hodonín
1262,1930,Archlebov,Hodonín
1192,1950,Archlebov,Hodonín
1288,1961,Archlebov,Hodonín
1142,1970,Archlebov,Hodonín
1002,1980,Archlebov,Hodonín
906,1991,Archlebov,Hodonín
908,2001,Archlebov,Hodonín
861,2011,Archlebov,Hodonín
237,1869,Arneštovice,Pelhřimov
245,1880,Arneštovice,Pelhřimov
247,1890,Arneštovice,Pelhřimov
245,1900,Arneštovice,Pelhřimov
259,1910,Arneštovice,Pelhřimov
265,1921,Arneštovice,Pelhřimov
217,1930,Arneštovice,Pelhřimov
180,1950,Arneštovice,Pelhřimov
165,1961,Arneštovice,Pelhřimov
154,1970,Arneštovice,Pelhřimov
101,1980,Arneštovice,Pelhřimov
88,1991,Arneštovice,Pelhřimov
81,2001,Arneštovice,Pelhřimov
90,2011,Arneštovice,Pelhřimov
357,1869,Arnolec,Jihlava
393,1880,Arnolec,Jihlava
390,1890,Arnolec,Jihlava
379,1900,Arnolec,Jihlava
374,1910,Arnolec,Jihlava
376,1921,Arnolec,Jihlava
354,1930,Arnolec,Jihlava
247,1950,Arnolec,Jihlava
271,1961,Arnolec,Jihlava
247,1970,Arnolec,Jihlava
241,1980,Arnolec,Jihlava
228,1991,Arnolec,Jihlava
184,2001,Arnolec,Jihlava
174,2011,Arnolec,Jihlava
835,1869,Arnoltice,Děčín
867,1880,Arnoltice,Děčín
822,1890,Arnoltice,Děčín
779,1900,Arnoltice,Děčín
762,1910,Arnoltice,Děčín
686,1921,Arnoltice,Děčín
716,1930,Arnoltice,Děčín
308,1950,Arnoltice,Děčín
340,1961,Arnoltice,Děčín
307,1970,Arnoltice,Děčín
259,1980,Arnoltice,Děčín
261,1991,Arnoltice,Děčín
285,2001,Arnoltice,Děčín
359,2011,Arnoltice,Děčín
13888,1869,Aš,Cheb
17589,1880,Aš,Cheb
19885,1890,Aš,Cheb
23737,1900,Aš,Cheb
27772,1910,Aš,Cheb
24618,1921,Aš,Cheb
28916,1930,Aš,Cheb
12484,1950,Aš,Cheb
11209,1961,Aš,Cheb
12843,1970,Aš,Cheb
12925,1980,Aš,Cheb
12285,1991,Aš,Cheb
12584,2001,Aš,Cheb
13093,2011,Aš,Cheb
396,1869,Babice,Hradec Králové
420,1880,Babice,Hradec Králové
404,1890,Babice,Hradec Králové
403,1900,Babice,Hradec Králové
394,1910,Babice,Hradec Králové
356,1921,Babice,Hradec Králové
329,1930,Babice,Hradec Králové
279,1950,Babice,Hradec Králové
281,1961,Babice,Hradec Králové
235,1970,Babice,Hradec Králové
205,1980,Babice,Hradec Králové
216,1991,Babice,Hradec Králové
216,2001,Babice,Hradec Králové
202,2011,Babice,Hradec Králové
612,1869,Babice,Olomouc
612,1880,Babice,Olomouc
581,1890,Babice,Olomouc
598,1900,Babice,Olomouc
485,1910,Babice,Olomouc
512,1921,Babice,Olomouc
585,1930,Babice,Olomouc
440,1950,Babice,Olomouc
465,1961,Babice,Olomouc
397,1970,Babice,Olomouc
373,1980,Babice,Olomouc
394,1991,Babice,Olomouc
403,2001,Babice,Olomouc
448,2011,Babice,Olomouc
295,1869,Babice,Prachatice
316,1880,Babice,Prachatice
269,1890,Babice,Prachatice
253,1900,Babice,Prachatice
271,1910,Babice,Prachatice
276,1921,Babice,Prachatice
254,1930,Babice,Prachatice
160,1950,Babice,Prachatice
143,1961,Babice,Prachatice
117,1970,Babice,Prachatice
65,1980,Babice,Prachatice
62,1991,Babice,Prachatice
78,2001,Babice,Prachatice
96,2011,Babice,Prachatice
452,1869,Babice,Praha-východ
471,1880,Babice,Praha-východ
462,1890,Babice,Praha-východ
394,1900,Babice,Praha-východ
437,1910,Babice,Praha-východ
444,1921,Babice,Praha-východ
391,1930,Babice,Praha-východ
361,1950,Babice,Praha-východ
348,1961,Babice,Praha-východ
288,1970,Babice,Praha-východ
236,1980,Babice,Praha-východ
186,1991,Babice,Praha-východ
264,2001,Babice,Praha-východ
765,2011,Babice,Praha-východ
383,1869,Babice,Třebíč
416,1880,Babice,Třebíč
429,1890,Babice,Třebíč
453,1900,Babice,Třebíč
425,1910,Babice,Třebíč
428,1921,Babice,Třebíč
371,1930,Babice,Třebíč
302,1950,Babice,Třebíč
319,1961,Babice,Třebíč
293,1970,Babice,Třebíč
256,1980,Babice,Třebíč
230,1991,Babice,Třebíč
212,2001,Babice,Třebíč
198,2011,Babice,Třebíč
878,1869,Babice,Uherské Hradiště
1078,1880,Babice,Uherské Hradiště
1122,1890,Babice,Uherské Hradiště
1187,1900,Babice,Uherské Hradiště
1313,1910,Babice,Uherské Hradiště
1345,1921,Babice,Uherské Hradiště
1310,1930,Babice,Uherské Hradiště
1440,1950,Babice,Uherské Hradiště
1622,1961,Babice,Uherské Hradiště
1643,1970,Babice,Uherské Hradiště
1615,1980,Babice,Uherské Hradiště
1627,1991,Babice,Uherské Hradiště
1745,2001,Babice,Uherské Hradiště
1817,2011,Babice,Uherské Hradiště
627,1869,Babice nad Svitavou,Brno-venkov
717,1880,Babice nad Svitavou,Brno-venkov
885,1890,Babice nad Svitavou,Brno-venkov
924,1900,Babice nad Svitavou,Brno-venkov
984,1910,Babice nad Svitavou,Brno-venkov
942,1921,Babice nad Svitavou,Brno-venkov
1041,1930,Babice nad Svitavou,Brno-venkov
1063,1950,Babice nad Svitavou,Brno-venkov
1008,1961,Babice nad Svitavou,Brno-venkov
974,1970,Babice nad Svitavou,Brno-venkov
908,1980,Babice nad Svitavou,Brno-venkov
834,1991,Babice nad Svitavou,Brno-venkov
859,2001,Babice nad Svitavou,Brno-venkov
1013,2011,Babice nad Svitavou,Brno-venkov
674,1869,Babice u Rosic,Brno-venkov
652,1880,Babice u Rosic,Brno-venkov
748,1890,Babice u Rosic,Brno-venkov
788,1900,Babice u Rosic,Brno-venkov
900,1910,Babice u Rosic,Brno-venkov
968,1921,Babice u Rosic,Brno-venkov
890,1930,Babice u Rosic,Brno-venkov
808,1950,Babice u Rosic,Brno-venkov
737,1961,Babice u Rosic,Brno-venkov
646,1970,Babice u Rosic,Brno-venkov
559,1980,Babice u Rosic,Brno-venkov
474,1991,Babice u Rosic,Brno-venkov
523,2001,Babice u Rosic,Brno-venkov
668,2011,Babice u Rosic,Brno-venkov
177,1869,Babylon,Domažlice
170,1880,Babylon,Domažlice
160,1890,Babylon,Domažlice
182,1900,Babylon,Domažlice
194,1910,Babylon,Domažlice
201,1921,Babylon,Domažlice
192,1930,Babylon,Domažlice
318,1950,Babylon,Domažlice
236,1961,Babylon,Domažlice
213,1970,Babylon,Domažlice
205,1980,Babylon,Domažlice
242,1991,Babylon,Domažlice
279,2001,Babylon,Domažlice
293,2011,Babylon,Domažlice
3233,1869,Bakov nad Jizerou,Mladá Boleslav
3611,1880,Bakov nad Jizerou,Mladá Boleslav
3845,1890,Bakov nad Jizerou,Mladá Boleslav
4065,1900,Bakov nad Jizerou,Mladá Boleslav
4719,1910,Bakov nad Jizerou,Mladá Boleslav
4745,1921,Bakov nad Jizerou,Mladá Boleslav
5603,1930,Bakov nad Jizerou,Mladá Boleslav
4733,1950,Bakov nad Jizerou,Mladá Boleslav
5020,1961,Bakov nad Jizerou,Mladá Boleslav
4792,1970,Bakov nad Jizerou,Mladá Boleslav
4601,1980,Bakov nad Jizerou,Mladá Boleslav
4369,1991,Bakov nad Jizerou,Mladá Boleslav
4544,2001,Bakov nad Jizerou,Mladá Boleslav
5026,2011,Bakov nad Jizerou,Mladá Boleslav
162,1869,Baliny,Žďár nad Sázavou
180,1880,Baliny,Žďár nad Sázavou
184,1890,Baliny,Žďár nad Sázavou
202,1900,Baliny,Žďár nad Sázavou
176,1910,Baliny,Žďár nad Sázavou
187,1921,Baliny,Žďár nad Sázavou
208,1930,Baliny,Žďár nad Sázavou
158,1950,Baliny,Žďár nad Sázavou
142,1961,Baliny,Žďár nad Sázavou
124,1970,Baliny,Žďár nad Sázavou
128,1980,Baliny,Žďár nad Sázavou
112,1991,Baliny,Žďár nad Sázavou
124,2001,Baliny,Žďár nad Sázavou
123,2011,Baliny,Žďár nad Sázavou
247,1869,Balkova Lhota,Tábor
242,1880,Balkova Lhota,Tábor
271,1890,Balkova Lhota,Tábor
233,1900,Balkova Lhota,Tábor
252,1910,Balkova Lhota,Tábor
241,1921,Balkova Lhota,Tábor
213,1930,Balkova Lhota,Tábor
184,1950,Balkova Lhota,Tábor
170,1961,Balkova Lhota,Tábor
145,1970,Balkova Lhota,Tábor
122,1980,Balkova Lhota,Tábor
122,1991,Balkova Lhota,Tábor
124,2001,Balkova Lhota,Tábor
121,2011,Balkova Lhota,Tábor
323,1869,Bantice,Znojmo
305,1880,Bantice,Znojmo
336,1890,Bantice,Znojmo
372,1900,Bantice,Znojmo
373,1910,Bantice,Znojmo
389,1921,Bantice,Znojmo
390,1930,Bantice,Znojmo
309,1950,Bantice,Znojmo
341,1961,Bantice,Znojmo
283,1970,Bantice,Znojmo
225,1980,Bantice,Znojmo
194,1991,Bantice,Znojmo
190,2001,Bantice,Znojmo
288,2011,Bantice,Znojmo
701,1869,Banín,Svitavy
668,1880,Banín,Svitavy
702,1890,Banín,Svitavy
719,1900,Banín,Svitavy
731,1910,Banín,Svitavy
696,1921,Banín,Svitavy
694,1930,Banín,Svitavy
367,1950,Banín,Svitavy
403,1961,Banín,Svitavy
357,1970,Banín,Svitavy
328,1980,Banín,Svitavy
276,1991,Banín,Svitavy
304,2001,Banín,Svitavy
314,2011,Banín,Svitavy
520,1869,Barchov,Hradec Králové
538,1880,Barchov,Hradec Králové
504,1890,Barchov,Hradec Králové
490,1900,Barchov,Hradec Králové
425,1910,Barchov,Hradec Králové
422,1921,Barchov,Hradec Králové
391,1930,Barchov,Hradec Králové
296,1950,Barchov,Hradec Králové
281,1961,Barchov,Hradec Králové
267,1970,Barchov,Hradec Králové
258,1980,Barchov,Hradec Králové
277,1991,Barchov,Hradec Králové
257,2001,Barchov,Hradec Králové
292,2011,Barchov,Hradec Králové
400,1869,Barchov,Pardubice
470,1880,Barchov,Pardubice
442,1890,Barchov,Pardubice
423,1900,Barchov,Pardubice
432,1910,Barchov,Pardubice
430,1921,Barchov,Pardubice
409,1930,Barchov,Pardubice
270,1950,Barchov,Pardubice
263,1961,Barchov,Pardubice
208,1970,Barchov,Pardubice
225,1980,Barchov,Pardubice
146,1991,Barchov,Pardubice
162,2001,Barchov,Pardubice
184,2011,Barchov,Pardubice
850,1869,Barchovice,Kolín
880,1880,Barchovice,Kolín
867,1890,Barchovice,Kolín
885,1900,Barchovice,Kolín
882,1910,Barchovice,Kolín
824,1921,Barchovice,Kolín
776,1930,Barchovice,Kolín
479,1950,Barchovice,Kolín
398,1961,Barchovice,Kolín
317,1970,Barchovice,Kolín
260,1980,Barchovice,Kolín
202,1991,Barchovice,Kolín
192,2001,Barchovice,Kolín
200,2011,Barchovice,Kolín
266,1869,Bartoušov,Havlíčkův Brod
261,1880,Bartoušov,Havlíčkův Brod
276,1890,Bartoušov,Havlíčkův Brod
277,1900,Bartoušov,Havlíčkův Brod
252,1910,Bartoušov,Havlíčkův Brod
264,1921,Bartoušov,Havlíčkův Brod
338,1930,Bartoušov,Havlíčkův Brod
243,1950,Bartoušov,Havlíčkův Brod
248,1961,Bartoušov,Havlíčkův Brod
221,1970,Bartoušov,Havlíčkův Brod
183,1980,Bartoušov,Havlíčkův Brod
148,1991,Bartoušov,Havlíčkův Brod
152,2001,Bartoušov,Havlíčkův Brod
167,2011,Bartoušov,Havlíčkův Brod
2374,1869,Bartošovice,Nový Jičín
2592,1880,Bartošovice,Nový Jičín
2599,1890,Bartošovice,Nový Jičín
2638,1900,Bartošovice,Nový Jičín
2677,1910,Bartošovice,Nový Jičín
2534,1921,Bartošovice,Nový Jičín
2404,1930,Bartošovice,Nový Jičín
1844,1950,Bartošovice,Nový Jičín
1968,1961,Bartošovice,Nový Jičín
1865,1970,Bartošovice,Nový Jičín
1605,1980,Bartošovice,Nový Jičín
1464,1991,Bartošovice,Nový Jičín
1605,2001,Bartošovice,Nový Jičín
1666,2011,Bartošovice,Nový Jičín
2696,1869,Bartošovice v Orlických horách,Rychnov nad Kněžnou
2681,1880,Bartošovice v Orlických horách,Rychnov nad Kněžnou
2608,1890,Bartošovice v Orlických horách,Rychnov nad Kněžnou
2303,1900,Bartošovice v Orlických horách,Rychnov nad Kněžnou
2105,1910,Bartošovice v Orlických horách,Rychnov nad Kněžnou
1898,1921,Bartošovice v Orlických horách,Rychnov nad Kněžnou
1834,1930,Bartošovice v Orlických horách,Rychnov nad Kněžnou
267,1950,Bartošovice v Orlických horách,Rychnov nad Kněžnou
359,1961,Bartošovice v Orlických horách,Rychnov nad Kněžnou
286,1970,Bartošovice v Orlických horách,Rychnov nad Kněžnou
249,1980,Bartošovice v Orlických horách,Rychnov nad Kněžnou
219,1991,Bartošovice v Orlických horách,Rychnov nad Kněžnou
218,2001,Bartošovice v Orlických horách,Rychnov nad Kněžnou
217,2011,Bartošovice v Orlických horách,Rychnov nad Kněžnou
3271,1869,Batelov,Jihlava
3208,1880,Batelov,Jihlava
3274,1890,Batelov,Jihlava
3278,1900,Batelov,Jihlava
3365,1910,Batelov,Jihlava
3214,1921,Batelov,Jihlava
3042,1930,Batelov,Jihlava
2293,1950,Batelov,Jihlava
2486,1961,Batelov,Jihlava
2389,1970,Batelov,Jihlava
2363,1980,Batelov,Jihlava
2286,1991,Batelov,Jihlava
2393,2001,Batelov,Jihlava
2320,2011,Batelov,Jihlava
845,1869,Batňovice,Trutnov
986,1880,Batňovice,Trutnov
1024,1890,Batňovice,Trutnov
1111,1900,Batňovice,Trutnov
1248,1910,Batňovice,Trutnov
1063,1921,Batňovice,Trutnov
1003,1930,Batňovice,Trutnov
891,1950,Batňovice,Trutnov
853,1961,Batňovice,Trutnov
864,1970,Batňovice,Trutnov
757,1980,Batňovice,Trutnov
675,1991,Batňovice,Trutnov
697,2001,Batňovice,Trutnov
752,2011,Batňovice,Trutnov
3120,1869,Bavorov,Strakonice
3365,1880,Bavorov,Strakonice
3079,1890,Bavorov,Strakonice
3113,1900,Bavorov,Strakonice
3057,1910,Bavorov,Strakonice
2966,1921,Bavorov,Strakonice
2586,1930,Bavorov,Strakonice
2057,1950,Bavorov,Strakonice
2027,1961,Bavorov,Strakonice
1760,1970,Bavorov,Strakonice
1670,1980,Bavorov,Strakonice
1475,1991,Bavorov,Strakonice
1436,2001,Bavorov,Strakonice
1511,2011,Bavorov,Strakonice
472,1869,Bavory,Břeclav
554,1880,Bavory,Břeclav
532,1890,Bavory,Břeclav
546,1900,Bavory,Břeclav
532,1910,Bavory,Břeclav
476,1921,Bavory,Břeclav
451,1930,Bavory,Břeclav
342,1950,Bavory,Břeclav
375,1961,Bavory,Břeclav
341,1970,Bavory,Břeclav
374,1980,Bavory,Břeclav
391,1991,Bavory,Břeclav
396,2001,Bavory,Břeclav
407,2011,Bavory,Břeclav
222,1869,Bavoryně,Beroun
240,1880,Bavoryně,Beroun
235,1890,Bavoryně,Beroun
234,1900,Bavoryně,Beroun
295,1910,Bavoryně,Beroun
277,1921,Bavoryně,Beroun
362,1930,Bavoryně,Beroun
253,1950,Bavoryně,Beroun
233,1961,Bavoryně,Beroun
217,1970,Bavoryně,Beroun
188,1980,Bavoryně,Beroun
151,1991,Bavoryně,Beroun
169,2001,Bavoryně,Beroun
215,2011,Bavoryně,Beroun
706,1869,Bačalky,Jičín
730,1880,Bačalky,Jičín
669,1890,Bačalky,Jičín
643,1900,Bačalky,Jičín
610,1910,Bačalky,Jičín
646,1921,Bačalky,Jičín
597,1930,Bačalky,Jičín
383,1950,Bačalky,Jičín
362,1961,Bačalky,Jičín
290,1970,Bačalky,Jičín
215,1980,Bačalky,Jičín
173,1991,Bačalky,Jičín
162,2001,Bačalky,Jičín
152,2011,Bačalky,Jičín
623,1869,Bačetín,Rychnov nad Kněžnou
632,1880,Bačetín,Rychnov nad Kněžnou
648,1890,Bačetín,Rychnov nad Kněžnou
563,1900,Bačetín,Rychnov nad Kněžnou
577,1910,Bačetín,Rychnov nad Kněžnou
532,1921,Bačetín,Rychnov nad Kněžnou
466,1930,Bačetín,Rychnov nad Kněžnou
338,1950,Bačetín,Rychnov nad Kněžnou
328,1961,Bačetín,Rychnov nad Kněžnou
306,1970,Bačetín,Rychnov nad Kněžnou
314,1980,Bačetín,Rychnov nad Kněžnou
382,1991,Bačetín,Rychnov nad Kněžnou
383,2001,Bačetín,Rychnov nad Kněžnou
401,2011,Bačetín,Rychnov nad Kněžnou
370,1869,Bačice,Třebíč
364,1880,Bačice,Třebíč
353,1890,Bačice,Třebíč
350,1900,Bačice,Třebíč
353,1910,Bačice,Třebíč
366,1921,Bačice,Třebíč
384,1930,Bačice,Třebíč
343,1950,Bačice,Třebíč
346,1961,Bačice,Třebíč
301,1970,Bačice,Třebíč
276,1980,Bačice,Třebíč
231,1991,Bačice,Třebíč
202,2001,Bačice,Třebíč
202,2011,Bačice,Třebíč
235,1869,Bačkov,Havlíčkův Brod
245,1880,Bačkov,Havlíčkův Brod
271,1890,Bačkov,Havlíčkův Brod
243,1900,Bačkov,Havlíčkův Brod
277,1910,Bačkov,Havlíčkův Brod
272,1921,Bačkov,Havlíčkův Brod
245,1930,Bačkov,Havlíčkův Brod
171,1950,Bačkov,Havlíčkův Brod
130,1961,Bačkov,Havlíčkův Brod
141,1970,Bačkov,Havlíčkův Brod
176,1980,Bačkov,Havlíčkův Brod
147,1991,Bačkov,Havlíčkův Brod
149,2001,Bačkov,Havlíčkův Brod
137,2011,Bačkov,Havlíčkův Brod
259,1869,Bačkovice,Třebíč
253,1880,Bačkovice,Třebíč
262,1890,Bačkovice,Třebíč
287,1900,Bačkovice,Třebíč
295,1910,Bačkovice,Třebíč
305,1921,Bačkovice,Třebíč
288,1930,Bačkovice,Třebíč
226,1950,Bačkovice,Třebíč
217,1961,Bačkovice,Třebíč
215,1970,Bačkovice,Třebíč
190,1980,Bačkovice,Třebíč
163,1991,Bačkovice,Třebíč
139,2001,Bačkovice,Třebíč
120,2011,Bačkovice,Třebíč
609,1869,Bařice-Velké Těšany,Kroměříž
651,1880,Bařice-Velké Těšany,Kroměříž
696,1890,Bařice-Velké Těšany,Kroměříž
720,1900,Bařice-Velké Těšany,Kroměříž
713,1910,Bařice-Velké Těšany,Kroměříž
694,1921,Bařice-Velké Těšany,Kroměříž
651,1930,Bařice-Velké Těšany,Kroměříž
601,1950,Bařice-Velké Těšany,Kroměříž
595,1961,Bařice-Velké Těšany,Kroměříž
